,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Evensk,0,RU,1570044889,53,61.92,159.24,27.89,9.13
1,Barrow,0,AR,1570044889,53,-38.31,-60.23,49.4,10.19
2,Luanda,75,AO,1570044889,83,-8.83,13.24,77.0,9.17
3,Carnarvon,0,ZA,1570044813,18,-30.97,22.13,59.43,8.16
4,Mar del Plata,92,AR,1570044809,22,-46.43,-67.52,53.72,10.47
5,Saskylakh,1,RU,1570044809,84,71.97,114.09,14.57,1.63
6,Yerbogachen,99,RU,1570044890,96,61.28,108.01,29.91,9.48
7,Byron Bay,0,AU,1570044890,100,-28.65,153.62,54.0,2.24
8,Busselton,76,AU,1570044891,69,-33.64,115.35,55.99,9.4
9,Victoria,75,BN,1570044891,88,5.28,115.24,77.0,2.24
10,Talnakh,75,RU,1570044805,94,69.49,88.39,33.8,6.71
11,Cockburn Town,40,TC,1570044829,70,21.46,-71.14,84.2,5.82
12,Bluff,0,AU,1570044792,76,-23.58,149.07,62.32,14.56
13,Kungurtug,0,RU,1570044837,70,50.6,97.53,20.47,1.39
14,Mataura,98,NZ,1570044891,92,-46.19,168.86,42.01,3.0
15,Bambous Virieux,40,MU,1570044892,83,-20.34,57.76,75.2,11.41
16,Butaritari,100,KI,1570044892,62,3.07,172.79,84.64,5.19
17,Mizan Teferi,85,ET,1570044892,95,6.99,35.58,61.1,4.09
18,Qaanaaq,50,GL,1570044764,77,77.48,-69.36,23.77,4.43
19,Kaitangata,100,NZ,1570044893,78,-46.28,169.85,43.0,5.99
20,Sao Joao da Barra,0,BR,1570044893,54,-21.64,-41.05,80.6,23.04
21,Punta Arenas,75,CL,1570044893,53,-53.16,-70.91,50.0,32.21
22,Hobart,90,AU,1570044893,71,-42.88,147.33,53.01,8.05
23,Rikitea,100,PF,1570044739,86,-23.12,-134.97,61.86,10.13
24,Albany,90,US,1570044752,82,42.65,-73.75,66.2,9.17
25,Thompson,20,CA,1570044576,39,55.74,-97.86,48.2,5.82
26,Vaini,69,IN,1570044563,91,15.34,74.49,75.98,1.05
27,Alice Springs,0,AU,1570044802,17,-23.7,133.88,64.4,5.82
28,Kruisfontein,100,ZA,1570044845,38,-34.0,24.73,65.6,5.44
29,Oussouye,20,SN,1570044894,74,12.49,-16.54,86.0,4.7
30,Yellowknife,75,CA,1570044894,66,62.45,-114.38,48.2,10.29
31,Mackay,40,CA,1570044838,61,53.65,-115.58,51.8,3.36
32,Kapaa,75,US,1570044895,74,22.08,-159.32,82.4,19.46
33,Port Elizabeth,1,US,1570044782,32,39.31,-74.98,95.0,16.11
34,Gushikawa,40,JP,1570044895,88,26.35,127.87,80.6,3.36
35,Cairns,75,AU,1570044895,83,-16.92,145.77,72.0,9.17
36,Bereda,0,ES,1570044895,87,43.27,-7.54,62.01,1.12
37,Esperance,90,AU,1570044823,93,-33.86,121.89,59.0,8.05
38,New Norfolk,90,AU,1570044896,71,-42.78,147.06,53.01,8.05
39,Matagami,0,NG,1570044896,88,9.67,8.4,69.8,10.29
40,Hithadhoo,100,MV,1570044831,81,-0.6,73.08,81.87,17.16
41,Ushuaia,75,AR,1570044896,75,-54.81,-68.31,46.4,26.4
42,Nome,40,US,1570044810,52,30.04,-94.42,93.2,8.05
43,Tasiilaq,90,GL,1570044764,69,65.61,-37.64,39.2,33.33
44,Ribeira Grande,20,PT,1570044774,60,38.52,-28.7,71.6,19.46
45,Northam,45,AU,1570044897,93,-31.65,116.67,48.2,3.6
46,Chokurdakh,99,RU,1570044814,94,70.62,147.9,25.73,14.25
47,Santo Andre,41,BR,1570044897,72,-0.91,-46.86,80.04,5.19
48,Castro,20,CL,1570044898,53,-42.48,-73.76,51.8,5.82
49,Maniwaki,33,CA,1570044640,58,46.38,-75.98,48.27,8.41
50,Hilo,90,US,1570044898,69,19.71,-155.08,82.4,5.82
51,Lebu,75,ET,1570044788,77,8.96,38.73,60.8,6.93
52,Kenai,90,US,1570044898,75,60.55,-151.26,46.0,4.7
53,Hofn,90,IS,1570044867,80,64.25,-15.21,39.2,3.36
54,Geraldton,90,CA,1570044519,74,49.72,-86.95,35.6,4.7
55,Aden,0,YE,1570044602,67,12.79,45.03,85.53,12.95
56,Awjilah,0,LY,1570044899,28,29.14,21.3,78.36,14.12
57,Marzuq,22,YE,1570044899,55,14.4,46.47,75.66,2.95
58,Dicabisagan,49,PH,1570044899,93,17.08,122.42,71.79,1.86
59,Nalut,0,LY,1570044850,18,31.86,10.98,79.75,11.23
60,Babaeski,0,TR,1570044899,74,41.43,27.09,67.42,8.32
61,Tura,100,RU,1570044825,98,64.27,100.22,32.95,5.39
62,Luderitz,0,NA,1570044566,91,-26.65,15.16,56.0,16.98
